suburb,origin_quarter,horizon,actual,naive,seasonal_naive,sarima,prophet
ARTARMON,2025-04-01,4,1.016518424396451,-6.296296296296299,13.207547169811315,-0.29095882445349713,7.806917503753613
ZETLAND,2020-10-01,1,-3.867403314917128,-0.5494505494505475,-11.304347826086955,2.477062724872447,1.6296529114889893
ZETLAND,2020-10-01,2,-6.64137931034483,-0.5494505494505475,-11.304347826086955,2.4587303104879505,5.53007651634234
ZETLAND,2020-10-01,3,18.194577823742343,-0.5494505494505475,-11.304347826086955,-3.1940422705208893,3.212197959734548
ZETLAND,2020-10-01,4,4.166666666666674,-0.5494505494505475,-11.304347826086955,-0.15603753010743826,-2.5201726130890183
ZETLAND,2021-07-01,1,4.166666666666674,18.194577823742343,-0.5494505494505475,-6.661021462753846,-2.909869521798606
ZETLAND,2021-07-01,2,1.0000000000000009,18.194577823742343,-0.5494505494505475,-2.029364756518273,-2.6838863901017107
ZETLAND,2021-07-01,3,-6.53465346534653,18.194577823742343,-0.5494505494505475,-2.0116167199665322,12.511213703193345
ZETLAND,2021-07-01,4,0.8474576271186418,18.194577823742343,-0.5494505494505475,5.122293888078826,-0.34020108184186104
ZETLAND,2022-04-01,1,0.8474576271186418,-6.53465346534653,18.194577823742343,3.1603982379967,-1.2876097530492832
ZETLAND,2022-04-01,2,4.306722689075637,-6.53465346534653,18.194577823742343,0.7198674238432387,0.43962436836026186
ZETLAND,2022-04-01,3,-0.7049345417925457,-6.53465346534653,18.194577823742343,0.17661172281640194,-5.524239238585681
ZETLAND,2022-04-01,4,-2.383367139959436,-6.53465346534653,18.194577823742343,-1.8282832311458064,17.01664925570506
ZETLAND,2023-01-01,1,-2.383367139959436,-0.7049345417925457,-6.53465346534653,-2.1231912133788993,18.047810566793686
ZETLAND,2023-01-01,2,7.012987012987004,-0.7049345417925457,-6.53465346534653,0.16532825111025887,-5.76292572254703
ZETLAND,2023-01-01,3,5.242718446601935,-0.7049345417925457,-6.53465346534653,1.183590786068676,5.0601595978467415
ZETLAND,2023-01-01,4,17.15867158671587,-0.7049345417925457,-6.53465346534653,-0.20034753356666088,-6.349305536725987
ZETLAND,2023-10-01,1,17.15867158671587,5.242718446601935,-0.7049345417925457,-4.743339197744792,-6.88319979864179
ZETLAND,2023-10-01,2,1.0236220472440882,5.242718446601935,-0.7049345417925457,-1.7800734780206882,-5.722184611162855
ZETLAND,2023-10-01,3,-22.194076383476222,5.242718446601935,-0.7049345417925457,1.7374909607624056,8.819623897850459
ZETLAND,2023-10-01,4,5.4345103931880745,5.242718446601935,-0.7049345417925457,1.433386470936838,-5.742140289587834
