suburb,region,origin_idx,horizon,actual,prophet
THIRLMERE,sydney,34,1,-4.255319148936165,20.755850867924142
THIRLMERE,sydney,34,2,23.888888888888893,1.8206158745112013
THIRLMERE,sydney,34,3,-14.798206278026903,17.28302707323578
THIRLMERE,sydney,34,4,-2.1052631578947323,-5.832197964372469
THIRLMERE,sydney,40,1,-6.005221932114879,12.03994122903524
THIRLMERE,sydney,40,2,3.333333333333344,-1.8390560949136532
THIRLMERE,sydney,40,3,-1.6129032258064502,-9.939668691210898
THIRLMERE,sydney,40,4,-5.846994535519123,8.389359122231896
GLEDSWOOD HILLS,sydney,28,1,1.5306122448979664,5.509189426599991
GLEDSWOOD HILLS,sydney,28,2,8.668341708542716,0.3179472980609157
GLEDSWOOD HILLS,sydney,28,3,-1.8265895953757272,7.728060081654083
GLEDSWOOD HILLS,sydney,28,4,-0.612341026848795,-3.624850273574892
GLEDSWOOD HILLS,sydney,34,1,47.810787530011176,7.718777943751795
GLEDSWOOD HILLS,sydney,34,2,-19.404835709857405,-2.8641118548094298
GLEDSWOOD HILLS,sydney,34,3,-11.615384615384617,2.8869907158899686
GLEDSWOOD HILLS,sydney,34,4,-26.54482158398608,-0.23639808074981428
GLEDSWOOD HILLS,sydney,40,1,-8.960573476702505,8.55775109957634
GLEDSWOOD HILLS,sydney,40,2,-10.629921259842522,0.449429337756448
GLEDSWOOD HILLS,sydney,40,3,19.383259911894267,17.40187926476872
GLEDSWOOD HILLS,sydney,40,4,-0.3690036900368953,-0.3129511743491653
CARLTON,sydney,28,1,-15.127020785219402,-1.34625741343382
CARLTON,sydney,28,2,0.0,3.280715474985891
CARLTON,sydney,28,3,-0.6802721088435382,-2.215424563161723
CARLTON,sydney,28,4,27.054794520547954,12.958799051268823
CARLTON,sydney,34,1,8.848484848484839,-6.059472302673712
CARLTON,sydney,34,2,-16.481069042316253,8.73682064307111
CARLTON,sydney,34,3,66.66666666666667,-9.196149639293763
CARLTON,sydney,34,4,-36.88,16.539004738866915
CARLTON,sydney,40,1,4.545454545454541,6.316692873298649
CARLTON,sydney,40,2,7.487922705314021,0.21132988518925
CARLTON,sydney,40,3,-5.61797752808989,-1.6681039582797448
CARLTON,sydney,40,4,-4.107142857142854,21.82008170066687
CARLTON,sydney,46,1,9.883720930232553,-0.050573527397571816
CARLTON,sydney,46,2,-7.671957671957674,8.367545588040258
CARLTON,sydney,46,3,-5.787965616045843,-1.3281335428846432
CARLTON,sydney,46,4,5.231143552311446,3.9324181800547926
WOODCROFT,sydney,28,1,-13.913043478260867,0.32711784936522914
WOODCROFT,sydney,28,2,22.65512265512266,-3.680211214835082
WOODCROFT,sydney,28,3,5.294117647058827,-0.8861428520142471
WOODCROFT,sydney,28,4,6.145251396648055,-1.0870792690688873
WOODCROFT,sydney,34,1,10.869565217391308,3.1900974979803394
WOODCROFT,sydney,34,2,-19.51960784313725,-0.01466266862675969
WOODCROFT,sydney,34,3,7.199415275916676,2.8209663676334102
WOODCROFT,sydney,34,4,1.818181818181808,-7.496203300375484
WOODCROFT,sydney,40,1,0.5747126436781658,-2.718548900924612
WOODCROFT,sydney,40,2,25.71428571428571,2.499752647687342
WOODCROFT,sydney,40,3,-5.227272727272725,-1.1785998449493467
WOODCROFT,sydney,40,4,-12.805755395683448,1.5818119621279916
HURSTVILLE,sydney,28,1,-12.846803377563331,3.65407398922891
HURSTVILLE,sydney,28,2,3.806228373702414,-4.9828395083508035
HURSTVILLE,sydney,28,3,6.666666666666665,-0.33503076265554094
HURSTVILLE,sydney,28,4,-7.692500000000003,3.2386988491678483
HURSTVILLE,sydney,34,1,-2.0000000000000018,-0.04236795447476904
HURSTVILLE,sydney,34,2,-11.564625850340136,-4.183638376390482
HURSTVILLE,sydney,34,3,15.230769230769226,-0.49119140889306134
HURSTVILLE,sydney,34,4,1.935914552736984,3.8220590425036196
HURSTVILLE,sydney,40,1,0.3257328990228014,3.8419910148326033
HURSTVILLE,sydney,40,2,1.8194805194805097,-9.328671371389722
HURSTVILLE,sydney,40,3,0.7640208670807835,-0.4828439556059587
HURSTVILLE,sydney,40,4,1.5822784810126669,4.1003566939646925
HURSTVILLE,sydney,46,1,3.553459119496849,0.041163830283084124
HURSTVILLE,sydney,46,2,3.249316732462804,0.2008544423679881
HURSTVILLE,sydney,46,3,-5.529411764705882,0.24272221253306725
HURSTVILLE,sydney,46,4,0.3735990037359915,0.3524487136678429
CARINGBAH,sydney,28,1,-17.948717948717952,4.03419137984047
CARINGBAH,sydney,28,2,15.972222222222232,-5.701977714106949
CARINGBAH,sydney,28,3,-0.8083832335329388,-3.153726405878801
CARINGBAH,sydney,28,4,20.73649260488984,1.936281593025615
CARINGBAH,sydney,34,1,-14.634146341463415,-2.776575195839171
CARINGBAH,sydney,34,2,0.952380952380949,8.419904019183964
CARINGBAH,sydney,34,3,-6.6037735849056585,4.483764326432917
CARINGBAH,sydney,34,4,-4.040404040404044,8.58281980778198
CARINGBAH,sydney,40,1,4.872251931075455,1.9616132566439053
CARINGBAH,sydney,40,2,-4.532577903682721,2.170299080359132
CARINGBAH,sydney,40,3,16.32047477744807,-0.5739571473497225
CARINGBAH,sydney,40,4,-2.3979591836734704,4.681447925888433
CARINGBAH,sydney,46,1,-1.834862385321101,-0.4815377916098966
CARINGBAH,sydney,46,2,-8.41121495327103,3.5095082054074744
CARINGBAH,sydney,46,3,2.0408163265306145,0.7905956415946405
CARINGBAH,sydney,46,4,3.0000000000000027,4.289597654161713
GLADESVILLE,sydney,28,1,-5.102040816326525,-24.990717573793894
GLADESVILLE,sydney,28,2,5.107526881720426,-15.043382100735077
GLADESVILLE,sydney,28,3,-1.0230179028132946,-2.822994772137645
GLADESVILLE,sydney,28,4,0.0516795865633135,14.594828322842847
GLADESVILLE,sydney,34,1,-8.64197530864198,14.779688586857583
GLADESVILLE,sydney,34,2,-20.495495495495497,-1.68003847671552
GLADESVILLE,sydney,34,3,11.048158640226635,17.01979157958103
GLADESVILLE,sydney,34,4,-8.163265306122447,11.978528919776082
