suburb,region,origin_idx,horizon,actual,naive,seasonal_naive,sarima
GOULBURN,rest_nsw,28,4,12.704918032786882,4.512195121951224,0.2358490566037652,0.7965075324755089
GOULBURN,rest_nsw,32,1,9.545454545454549,12.704918032786882,3.617269544924162,-0.29790435637324036
GOULBURN,rest_nsw,32,2,7.219917012448129,12.704918032786882,3.617269544924162,2.2173552033489305
GOULBURN,rest_nsw,32,3,-7.27554179566563,12.704918032786882,3.617269544924162,-0.14210855159674443
GOULBURN,rest_nsw,32,4,0.1669449081802998,12.704918032786882,3.617269544924162,2.42633311672864
GOULBURN,rest_nsw,36,1,3.333333333333344,0.1669449081802998,9.545454545454549,2.173508797718148
GOULBURN,rest_nsw,36,2,3.2258064516129004,0.1669449081802998,9.545454545454549,1.8258651360415923
GOULBURN,rest_nsw,36,3,-6.25,0.1669449081802998,9.545454545454549,-1.8539378409490024
GOULBURN,rest_nsw,36,4,0.0,0.1669449081802998,9.545454545454549,0.04249021452479591
GOULBURN,rest_nsw,40,1,3.416666666666668,0.0,3.333333333333344,1.0205084046568225
GOULBURN,rest_nsw,40,2,-3.3037872683319924,0.0,3.333333333333344,0.973636647173625
GOULBURN,rest_nsw,40,3,-3.3333333333333326,0.0,3.333333333333344,-1.8856960750970244
GOULBURN,rest_nsw,40,4,8.448275862068954,0.0,3.333333333333344,2.3015647387656164e-07
GOULBURN,rest_nsw,44,1,-8.58505564387917,8.448275862068954,3.416666666666668,1.6167397139617679
GOULBURN,rest_nsw,44,2,9.565217391304335,8.448275862068954,3.416666666666668,-1.0304491464952372
GOULBURN,rest_nsw,44,3,3.015873015873005,8.448275862068954,3.416666666666668,-1.01971096840094
GOULBURN,rest_nsw,44,4,1.5408320493066174,8.448275862068954,3.416666666666668,2.5860448697301015
GRAFTON,rest_nsw,28,1,7.640949554896137,3.3742331288343586,-9.48905109489051,-5.4868669247523725
GRAFTON,rest_nsw,28,2,3.376981392143352,3.3742331288343586,-9.48905109489051,0.34577985372918824
GRAFTON,rest_nsw,28,3,1.333333333333342,3.3742331288343586,-9.48905109489051,2.1578132170183113
GRAFTON,rest_nsw,28,4,15.789473684210533,3.3742331288343586,-9.48905109489051,1.688602011265134
GRAFTON,rest_nsw,32,1,-0.5681818181818232,15.789473684210533,7.640949554896137,-0.26359725862797745
GRAFTON,rest_nsw,32,2,4.000000000000004,15.789473684210533,7.640949554896137,1.0457961931407913
GRAFTON,rest_nsw,32,3,-1.098901098901095,15.789473684210533,7.640949554896137,0.37738043383650044
GRAFTON,rest_nsw,32,4,-3.3333333333333326,15.789473684210533,7.640949554896137,4.502371524051455
GRAFTON,rest_nsw,36,1,6.896551724137923,-3.3333333333333326,-0.5681818181818232,0.6654628002305935
GRAFTON,rest_nsw,36,2,-10.215053763440862,-3.3333333333333326,-0.5681818181818232,0.6304480426622195
GRAFTON,rest_nsw,36,3,14.311377245508972,-3.3333333333333326,-0.5681818181818232,-0.18228832497489536
GRAFTON,rest_nsw,36,4,0.9952854897852248,-3.3333333333333326,-0.5681818181818232,-0.5598303284048933
GRAFTON,rest_nsw,40,1,-6.639004149377592,0.9952854897852248,6.896551724137923,0.5766396183914972
GRAFTON,rest_nsw,40,2,12.222222222222223,0.9952854897852248,6.896551724137923,-1.600110343528601
GRAFTON,rest_nsw,40,3,-9.9009900990099,0.9952854897852248,6.896551724137923,2.4043448219136083
GRAFTON,rest_nsw,40,4,3.296703296703307,0.9952854897852248,6.896551724137923,0.17701304325534986
GRAFTON,rest_nsw,44,1,0.0,3.296703296703307,-6.639004149377592,-1.2542836918424054
GRAFTON,rest_nsw,44,2,7.978723404255317,3.296703296703307,-6.639004149377592,0.8148351041435791
GRAFTON,rest_nsw,44,3,-2.463054187192115,3.296703296703307,-6.639004149377592,-0.5107638716726843
GRAFTON,rest_nsw,44,4,9.090909090909085,3.296703296703307,-6.639004149377592,0.16740377737713685
GRANVILLE,sydney,28,1,4.629629629629628,-7.692307692307687,-8.133971291866027,-3.378989657471886
GRANVILLE,sydney,28,2,9.867256637168143,-7.692307692307687,-8.133971291866027,0.4423030895018268
GRANVILLE,sydney,28,3,13.572291582762784,-7.692307692307687,-8.133971291866027,-0.5777594467465074
GRANVILLE,sydney,28,4,-12.482269503546096,-7.692307692307687,-8.133971291866027,-0.6987821065773935
GRANVILLE,sydney,32,1,0.8914100486223653,-12.482269503546096,4.629629629629628,-3.0961709987616253
GRANVILLE,sydney,32,2,1.5261044176706928,-12.482269503546096,4.629629629629628,-0.5291981101246941
GRANVILLE,sydney,32,3,4.430379746835444,-12.482269503546096,4.629629629629628,0.6066365379027311
GRANVILLE,sydney,32,4,-1.060606060606062,-12.482269503546096,4.629629629629628,-1.2441874748993784
GRANVILLE,sydney,36,1,-17.304747320061253,-1.060606060606062,0.8914100486223653,-2.25453787822617
GRANVILLE,sydney,36,2,6.666666666666665,-1.060606060606062,0.8914100486223653,-0.7148867156266777
GRANVILLE,sydney,36,3,1.0414930555555646,-1.060606060606062,0.8914100486223653,0.13532433299389823
GRANVILLE,sydney,36,4,3.316328722214301,-1.060606060606062,0.8914100486223653,-0.23117458228442145
GRANVILLE,sydney,40,1,1.3304506901713031,3.316328722214301,-17.304747320061253,-2.6668471634374535
GRANVILLE,sydney,40,2,-2.576727392089284,3.316328722214301,-17.304747320061253,0.4417629360580172
GRANVILLE,sydney,40,3,-9.450808625336926,3.316328722214301,-17.304747320061253,0.003223299683028689
GRANVILLE,sydney,40,4,11.534883720930234,3.316328722214301,-17.304747320061253,0.3222621075015492
GRANVILLE,sydney,44,1,-1.5846538782318564,11.534883720930234,1.3304506901713031,-1.5017344625121605
