suburb,postcode,region,quarter,quarter_of_year,n_sales,median_price,median_price_per_sqm,qoq_pct_change,lag_1_price,lag_2_price,lag_3_price,lag_4_price,lag_1_qoq_pct,lag_2_qoq_pct,lag_3_qoq_pct,lag_4_qoq_pct,rolling_mean_4q,rolling_std_4q,state_benchmark_growth,nsw_tvd_qoq_pct,missing_benchmark_flag,is_q1,is_q2,is_q3,is_q4,flag_covid_period,flag_rate_hike_period,n_outliers_excluded_candidate
LEPPINGTON,2179.0,sydney,2026-04-01,2,69,1290000.0,3350.644999162339,5.306122448979589,1225000.0,860000.0,935000.0,1085000.0,42.441860465116285,-8.021390374331549,-13.824884792626724,22.598870056497166,1026250.0,162192.0158330859,,,1,0,1,0,0,0,0,0
LEPPINGTON,2179.0,sydney,2026-07-01,3,31,1145000.0,3435.588558855886,-11.240310077519378,1290000.0,1225000.0,860000.0,935000.0,5.306122448979589,42.441860465116285,-8.021390374331549,-13.824884792626724,1077500.0,211758.5102579508,,,1,0,0,1,0,0,0,0
LEPPINGTON,,rest_nsw,2026-07-01,3,4,707500.0,,-38.20960698689956,1145000.0,1290000.0,1225000.0,860000.0,-11.240310077519378,5.306122448979589,42.441860465116285,-8.021390374331549,1130000.0,189516.92976266437,,,1,0,0,1,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2014-01-01,1,15,310000.0,527.1212378847134,,,,,,,,,,,,-8.7248322147651,1.9773982513705768,0,1,0,0,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2014-04-01,2,20,325000.0,552.2915467374828,4.8387096774193505,310000.0,,,,,,,,,,7.058823529411762,3.326688283895174,0,0,1,0,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2014-07-01,3,21,350000.0,594.8083204400893,7.692307692307687,325000.0,310000.0,,,4.8387096774193505,,,,317500.0,10606.601717798212,0.2747252747252737,3.0290728702010217,0,0,0,1,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2014-10-01,4,24,370000.0,612.8500823723228,5.714285714285716,350000.0,325000.0,310000.0,,7.692307692307687,4.8387096774193505,,,328333.3333333333,20207.25942163691,11.780821917808224,4.598269127069421,0,0,0,0,1,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2015-01-01,1,11,380000.0,618.0409875746328,2.7027027027026973,370000.0,350000.0,325000.0,310000.0,5.714285714285716,7.692307692307687,4.8387096774193505,,338750.0,26575.364531836633,-2.8799019607843146,4.00557452675212,0,1,0,0,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2015-04-01,2,24,426500.0,742.0924574209246,12.236842105263168,380000.0,370000.0,350000.0,325000.0,2.7027027027026973,5.714285714285716,7.692307692307687,4.8387096774193505,356250.0,24281.337140555792,8.517350157728698,6.439601644208892,0,0,1,0,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2015-07-01,3,29,450000.0,726.1578182991769,5.509964830011715,426500.0,380000.0,370000.0,350000.0,12.236842105263168,2.7027027027026973,5.714285714285716,7.692307692307687,381625.0,32412.381893344405,3.279069767441856,4.102996316362284,0,0,0,1,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2015-10-01,4,23,470000.0,768.1879801174877,4.444444444444451,450000.0,426500.0,380000.0,370000.0,5.509964830011715,12.236842105263168,2.7027027027026973,5.714285714285716,406625.0,37976.69241346153,3.0173384372888856,-0.2620065097297619,0,0,0,0,1,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2016-01-01,1,11,440000.0,729.9270072992701,-6.382978723404253,470000.0,450000.0,426500.0,380000.0,4.444444444444451,5.509964830011715,12.236842105263168,2.7027027027026973,431625.0,38737.094625178084,-7.103825136612018,0.0929417360667317,0,1,0,0,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2016-04-01,2,19,440000.0,743.2788613600421,0.0,440000.0,470000.0,450000.0,426500.0,-6.382978723404253,4.444444444444451,5.509964830011715,12.236842105263168,446625.0,18318.365101722393,5.294117647058827,3.5421564524866778,0,0,1,0,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2016-07-01,3,24,430000.0,726.3200756406718,-2.2727272727272707,440000.0,440000.0,470000.0,450000.0,0.0,-6.382978723404253,4.444444444444451,5.509964830011715,450000.0,14142.135623730985,0.5586592178770999,3.2970730071020915,0,0,0,1,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2016-10-01,4,12,466250.0,788.1228367477306,8.430232558139528,430000.0,440000.0,440000.0,470000.0,-2.2727272727272707,0.0,-6.382978723404253,4.444444444444451,445000.0,17320.508075688802,9.499999999999996,4.809193844522253,0,0,0,0,1,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2017-01-01,1,15,510000.0,826.226012793177,9.383378016085796,466250.0,430000.0,440000.0,440000.0,8.430232558139528,-2.2727272727272707,0.0,-6.382978723404253,444062.5,15524.677935467806,-5.631659056316596,3.5883741259440383,0,1,0,0,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2017-04-01,2,21,495000.0,842.8919012860619,-2.941176470588236,510000.0,466250.0,430000.0,440000.0,9.383378016085796,8.430232558139528,-2.2727272727272707,0.0,461562.5,35727.19260824544,12.903225806451625,2.839981464098429,0,0,1,0,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2017-07-01,3,17,550000.0,945.5045556128588,11.111111111111116,495000.0,510000.0,466250.0,430000.0,-2.941176470588236,9.383378016085796,8.430232558139528,-2.2727272727272707,475312.5,35242.83319579553,-9.523809523809524,-0.5570269852081866,0,0,0,1,0,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2017-10-01,4,14,527500.0,912.424465598972,-4.09090909090909,550000.0,495000.0,510000.0,466250.0,11.111111111111116,-2.941176470588236,9.383378016085796,8.430232558139528,505312.5,34886.348213401,8.315789473684209,1.4409279013242404,0,0,0,0,1,0,0,0
LETHBRIDGE PARK,2770.0,sydney,2018-01-01,1,10,529500.0,893.6831455460219,0.37914691943128354,527500.0,550000.0,495000.0,510000.0,-4.09090909090909,11.111111111111116,-2.941176470588236,9.383378016085796,520625.0,23662.118107501145,-7.191448007774537,-0.3549950164354332,0,1,0,0,0,0,0,0
